<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PARK.US,D,20251203,000000,13,13.44,9.53,10.25,481900,0
PARK.US,D,20251204,000000,10.35,12.125,10.35,11.54,68800,0
PARK.US,D,20251205,000000,12.31,13.6,11.39,13.3,82000,0
PARK.US,D,20251208,000000,13.01,13.71,12.75,13.22,40900,0
PARK.US,D,20251209,000000,13.62,16.26,13.13,15.77,98876,0
PARK.US,D,20251210,000000,16.22,17.84,13.65,14.19,180069,0
PARK.US,D,20251211,000000,13.96,14.6528,13.9,14.06,55430,0
PARK.US,D,20251212,000000,13.9,14.75,13.9,14.02,31657,0
PARK.US,D,20251215,000000,14.84,14.84,13.9,14.39,55499,0
PARK.US,D,20251216,000000,14.37,14.55,13.44,13.44,59042,0
PARK.US,D,20251217,000000,13.66,14.3,13.6,13.88,31271,0
PARK.US,D,20251218,000000,14,14.01,13.375,13.74,22768,0
PARK.US,D,20251219,000000,13.77,14.1,13.4,14.1,43528,0
PARK.US,D,20251222,000000,13.82,15.5,13.5201,13.53,98139,0
PARK.US,D,20251223,000000,13.5,13.5,12.85,13.03,31901,0
PARK.US,D,20251224,000000,13.36,14.1524,13.1201,13.92,140818,0
PARK.US,D,20251226,000000,13.99,15.32,13.88,14.68,101154,0
PARK.US,D,20251229,000000,14.7,16.28,14.475,15.99,88767,0
PARK.US,D,20251230,000000,15.24,15.42,12.29,12.41,52043,0
PARK.US,D,20251231,000000,12.32,14.8,12.32,14.76,37235,0
PARK.US,D,20260102,000000,15,15.17,13.6935,14.8,43382,0
PARK.US,D,20260105,000000,15,15.5,14.8195,15.25,25078,0
PARK.US,D,20260106,000000,15.37,15.79,14,14.39,38054,0
PARK.US,D,20260107,000000,14.46,15.73,13.08,14.16,107161,0
PARK.US,D,20260108,000000,14,14.755,14,14.31,30810,0
PARK.US,D,20260109,000000,14.83,15,14.15,14.53,36657,0
